+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[31]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[9]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[6]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[5]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[29]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[20]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[1]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[17]/R|
|                ts_clk160 |                ts_clk125 |                                                                                       get_time_t_reg[1]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[20]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[30]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[28]/D|
|                ts_clk160 |                ts_clk125 |                                                                                       get_time_t_reg[6]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[24]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[22]/D|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[30]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[7]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[22]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[19]/R|
|                ts_clk125 |                ts_clk160 |                                                                                           fd_tim_reg[0]/R|
|                ts_clk160 |                ts_clk125 |                                                                                       get_time_t_reg[4]/D|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[25]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[26]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[13]/R|
|                ts_clk125 |                ts_clk160 |                                                                                          fd_tim_reg[10]/R|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[21]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[19]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[11]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[12]/D|
|                ts_clk160 |                ts_clk125 |                                                                                       get_time_t_reg[3]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[17]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[16]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[14]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[18]/D|
|                ts_clk160 |                ts_clk125 |                                                                                       get_time_t_reg[2]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[23]/D|
|                ts_clk160 |                ts_clk125 |                                                                                      get_time_t_reg[27]/D|
|             clk_out3_pll |                ts_clk125 |                                                                               mac_inst/dfs_rx_rd_en_reg/D|
|             clk_out3_pll |                ts_clk125 |                                                                                mac_inst/dfs_zero_reg[6]/D|
|                ts_clk125 |                ts_clk125 |                                                                           mac_inst/fifo_26010_st_reg[7]/D|
|             clk_out3_pll |                ts_clk125 |                                                                           mac_inst/fifo_26010_st_reg[0]/D|
|             clk_out3_pll |                ts_clk125 |                                                                           mac_inst/fifo_26010_st_reg[2]/D|
|             clk_out3_pll |                ts_clk125 |                                                              mac_inst/FSM_sequential_eth_prepare_reg[1]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
